model,direction,representation,source_length_group,examples,BLEU,METEOR,mean_reference_length,mean_hypothesis_length,empty_translations_percentage
word_lstm_large_word2vec,English_to_Italian,word,1-5,770,36.7566827473854,57.96152650923394,4.242857142857143,3.942857142857143,0.0
word_lstm_large_word2vec,English_to_Italian,word,6-10,2730,17.85757738725306,38.51140299605041,8.52087912087912,8.261904761904763,0.0
word_lstm_large_word2vec,English_to_Italian,word,11-15,4293,10.742853164282264,30.96791515807983,13.116235732587933,13.181924062427207,0.0
word_lstm_large_word2vec,English_to_Italian,word,16-20,5178,8.088315521945923,27.69907007897385,17.831981460023176,18.510235612205484,0.0
context_lstm_large_word2vec,Italian_to_English,word,1-5,862,32.13443224208899,59.52391072102669,4.7354988399071924,4.780742459396752,0.0
context_lstm_large_word2vec,Italian_to_English,word,6-10,3096,20.80565157608907,45.38214482847518,9.415374677002584,9.834625322997416,0.0
context_lstm_large_word2vec,Italian_to_English,word,11-15,4528,13.097690450659366,37.06987035576709,14.470185512367491,15.615503533568905,0.0
context_lstm_large_word2vec,Italian_to_English,word,16-20,5437,10.582740034466301,33.76736559834499,19.286003310649257,21.419164980687878,0.0
character_lstm,English_to_Italian,character,1-5,770,25.67426651314186,53.49672466875123,4.242857142857143,4.915584415584416,0.0
character_lstm,English_to_Italian,character,6-10,2730,9.977192990065802,29.286704018263862,8.52087912087912,10.285347985347986,0.0
character_lstm,English_to_Italian,character,11-15,4293,5.471393697443203,21.86160757234887,13.116235732587933,15.457255998136501,0.0
character_lstm,English_to_Italian,character,16-20,5178,3.7716334531423055,18.796585510477417,17.831981460023176,20.69969100038625,0.0
